"Reference","Qty","Value","digikey"
"Q3,Q6,Q7","3","T2N7002BK,LM","T2N7002BKLMCT-ND"
"Q2","1","SSM3J332R","SSM3J332RLFCT-ND"
"J13","1","Raspberry_Pi_2_3",""
"J3","1","Power Switch","277-1667-ND"
"U5","1","MCP3021A0T-E_OT","MCP3021A0T-E/OTCT-ND"
"U3","1","MCP6004","MCP6004T-I/SLCT-ND"
"U2","1","MAX42403AFLB+","505-MAX42403AFLB+-ND"
"J9","1","Laser Port","277-1667-ND"
"LED1,LED2,LED3,LED4","4","Green","160-1179-1-ND"
"J8","1","Force Sensor","277-1667-ND"
"Q4","1","DMMT5401 PNP","DMMT5401-FDICT-ND"
"J1","1","Battery 22.2V IN","277-1667-ND"
"R10","1","665 Ohm","311-665FRCT-ND"
"R17","1","90 kOhm","13-RT1206DRE0790KLCT-ND"
"R16","1","80.6 kOhm","311-80.6FRCT-ND"
"R5,R15","2","49.9 Ohm","311-49.9FRCT-ND"
"R1","1","49.9 kOhm","311-49.9KFRCT-ND"
"COUT1","1","47 uF","732-6324-1-ND"
"C_OPT1","1","47 pF","1292-1206N470J102CT-ND"
"C3,C13","2","47 pF","1292-1206N470J102CT-ND"
"R14","1","47 kOhm","A129830CT-ND"
"R3","1","20 kOhm","RMCF1206FT20K0CT-ND"
"U4","1","12V Buck","1951-2739-ND"
"R2","1","9.5 kOhm","311-9.53KFRCT-ND"
"F1","1","4A","5923-0685T4000-01CT-ND"
"U6","1","3.3V Buck","1951-2742-ND"
"F2","1","3A","5923-C1F3CT-ND"
"L1","1","2.2 uH","490-10787-1-ND"
"C8,CIN1,CIN2","3","2.2 uF","490-17674-1-ND"
"R9","1","1.5 kOhm","RMCF1206JG1K50CT-ND"
