Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C3, C_OPT1",1206,3,47 pF,
"C8, CIN1, CIN2",1206,3,2.2 uF,
"COUT1, COUT2",1210,2,23.7 uF,
F1,1206,1,4A,
F2,1206,1,3A,
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Battery 22.2V IN,
J13,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
J15,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Power Switch,
J8,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Force Sensor,
J9,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Laser Port,
L1,IND_1217AS-H-2R2N=P3,1,2.2 uH,
"LED1, LED2, LED3, LED4",LED_LTST-C170GKT_LTO,4,Green,
Q2,SOT-23_Handsoldering,1,SSM3J332R,
"Q3, Q6, Q7",SOT-23_Handsoldering,3,"T2N7002BK,LM",
"Q4, Q5",SOT95P285X140-6N,2,DMMT5401 PNP,
Q8,SOT-23_Handsoldering,1,DMG2305UX-EV,
R1,1206,1,49.9 kOhm,
R10,1206,1,665 Ohm,
"R14, R26",1206,2,47 kOhm,
"R15, R5",1206,2,49.9 Ohm,
R16,1206,1,80.6 kOhm,
R17,1206,1,90 kOhm,
R2,1206,1,9.5 kOhm,
R3,1206,1,20 kOhm,
R9,1206,1,1.5 kOhm,
U2,21-100701_90-100241_ADI,1,MAX42403AFLB+,
U3,SOIC14_SL_MCH,1,MCP6004,
U4,Converter_DCDC_TRACO_TSR-1_THT,1,12V Buck,
U5,IC_MCP3021A0T-E_OT,1,MCP3021A0T-E_OT,
U6,Converter_DCDC_TRACO_TSR-1_THT,1,3.3V Buck,
